NAME,COUNTRY,CITY,POSTALCODE,WEBSITE,CONTACT_NAME,POSITION
BABU JAN TRAVELS AND TOURS,Pakistan,SITE TOWN,75840,https://navigate.itb.com/company/BABU-JAN-TRAVELS-AND-TOURS--1215365,AHTERAM UL HAQ,CEO
Bad Luhačovice,Czechia,Luhačovice,763 26,https://navigate.itb.com/company/Bad-Luhačovice--1207888,Karel Fridrich,
BAGAGLINO - I GIARDINI DI PORTO CERVO,Italy,ARZACHENA,07021,https://navigate.itb.com/company/BAGAGLINO---I-GIARDINI-DI-PORTO-CERVO--1004102,CARLO BAIARDO,DIRETTORE
BAIA HOTELS,Türkiye,ANTALYA,07112,https://navigate.itb.com/company/BAIA-HOTELS--1216708,OKAN GOKCE,
Bali Hai Cruises,Indonesia,Denpasar,80222,https://navigate.itb.com/company/Bali-Hai-Cruises--1004171,Pande Nyoman Gede Ardika,General Manager
Bali Mandira Beach Resort & Spa,Indonesia,Bali,80361,https://navigate.itb.com/company/Bali-Mandira-Beach-Resort-Spa--1004172,Ni Luh Sri Rati Virgiantini,Director of Sales & Marketing
Bali Tropic Resort & Spa,Indonesia,Kabupaten Badung,80363,https://navigate.itb.com/company/Bali-Tropic-Resort-Spa--1004174,I Gusti Made Sudiarsa,Resort Manager
Balkan Holidays Services Ltd.,Bulgaria,Sofia,1000,https://navigate.itb.com/company/Balkan-Holidays-Services-Ltd--1215933,Vasil Ivanov,Director BH International companies & Local Market Development
Bandara Hotels & Resorts,Thailand,Bangkok,10500,https://navigate.itb.com/company/Bandara-Hotels-Resorts--1004233,John Kwok,Group Director of Sales & Marketing
Bandos Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Bandos-Maldives--1215966,Ahmed Siyad,Director of Sales & Marketing
Bangkok Palace Hotel,Thailand,Bangkok,10400,https://navigate.itb.com/company/Bangkok-Palace-Hotel--1004244,Kris Chandraprasert,Vice President - Sales & Marketing
Bangsak Village,Thailand,Phang-Nga,82190,https://navigate.itb.com/company/Bangsak-Village--1004248,Lipda Suthipibul,Assistant to Deputy Managing Director
"BANSKO,BULGARIA",Bulgaria,Bansko,2770,"https://navigate.itb.com/company/BANSKO,BULGARIA--1216332",Atanas Totin,Specialist economic development
Banyan Tree Bangkok,Thailand,Bangkok,10120,https://navigate.itb.com/company/Banyan-Tree-Bangkok--1004260,Manop Lobunditkul,Director of Sales and Marketing
Banyan Tree Doha,Qatar,Doha,24624,https://navigate.itb.com/company/Banyan-Tree-Doha--1004261,Houssam Naddaf,
Banyan Tree Samui,Thailand,Suratthani,84310,https://navigate.itb.com/company/Banyan-Tree-Samui--1215623,Craig McMahon,Area Director of Sales and Marketing
Banyan Tree vabbinfaru,Maldives,Male',000,https://navigate.itb.com/company/Banyan-Tree-vabbinfaru--1207664,Nunitva Wirotworachai,Director of Sales & Marketing
Baraza Resort & Spa,Tanzania,Zanzibar,0000,https://navigate.itb.com/company/Baraza-Resort-Spa--1004280,Sujit Shah,Sales & Marketing
Barberyn Reef Ayurveda Resort Hospital (Pvt) Ltd,Sri Lanka,Moragalla,12070,https://navigate.itb.com/company/Barberyn-Reef-Ayurveda-Resort-Hospital-Pvt-Ltd--1214698,Indaka De Silva,Chairman's Representative
Barcelo Fortina Malta,Malta,Sliema,SLM 3065,https://navigate.itb.com/company/Barcelo-Fortina-Malta--1216371,Andrew Tabone,Director of Sales & Marketing
Barceló Hotel Group Czech Republic,Czechia,Praha 4 - Krč,140 00,https://navigate.itb.com/company/Barceló-Hotel-Group-Czech-Republic--1004297,Markáta Janatová,
Barceló Hotel Group EMEA,Spain,Palma de Mallorca,07006,https://navigate.itb.com/company/Barceló-Hotel-Group-EMEA--1004298,Susana Mari Alonso,Jefa de ventas GGCC - Key Account Manager
Barceló Whale Lagoon Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Barceló-Whale-Lagoon-Maldives--1215944,Jenna Gangmei,Cluster Director of Sales and Marketing
Barefoot Noomadi Hotel Pvt Ltd,Maldives,Male',000,https://navigate.itb.com/company/Barefoot-Noomadi-Hotel-Pvt-Ltd--1040115,Raffaella Colleoni,General Manager
Baron Hotels & Resorts,Egypt,Cairo,2531,https://navigate.itb.com/company/Baron-Hotels-Resorts--1004325,Nader Hanna,Director of sales & Marketing
Bar Peepal Resort,Nepal,Kaski,33700,https://navigate.itb.com/company/Bar-Peepal-Resort--1216378,Meeru Nakarmi,Director of Sales & Marketing
BARUT HOTELS,Türkiye,ANTALYA,07100,https://navigate.itb.com/company/BARUT-HOTELS--1004339,MESUT KURTULMUS,Sales Manager
Batoka Africa,Zimbabwe,Victoria Falls,0,https://navigate.itb.com/company/Batoka-Africa--1215859,Percival Togara,Group Marketing Officer
Bayphere Hotel Pattaya,Thailand,Chonburi,20250,https://navigate.itb.com/company/Bayphere-Hotel-Pattaya--1005009,Pavee Lertvalaikul,Cluster Director of Sales & Marketing
Beau Vallon Hospitality,Mauritius,St. Hubert,0,https://navigate.itb.com/company/Beau-Vallon-Hospitality--1206993,Virginie Gomes Da Costa,
Beds4Greece,Greece,Heraklion-Crete,71202,https://navigate.itb.com/company/Beds4Greece--1004584,Pantelis VERNADOS,COO
Bellabgio Resort & SPA,Egypt,El gouna,14541,https://navigate.itb.com/company/Bellabgio-Resort-SPA--1217144,Michael Salama,Director of Sales
Belmare&Aquaresort Miedzyzdroje Poland,Poland,Miedzyzdroje,72-500,https://navigate.itb.com/company/Belmare-Aquaresort-Miedzyzdroje-Poland--1215438,Anna Konkowska,Sales Manager
Bensaude Turismo - Azores,Portugal,Lisboa,1070-060,https://navigate.itb.com/company/Bensaude-Turismo---Azores--1216868,Pedro Salazar,
BERJAYA LANGKAWI RESORT,Malaysia,Kuala Lumpur,55100,https://navigate.itb.com/company/BERJAYA-LANGKAWI-RESORT--1207130,Carole Yong,
