NAME,COUNTRY,CITY,POSTALCODE,WEBSITE,CONTACT_NAME,POSITION
Complete Tours,Morocco,Agadir,80000,https://navigate.itb.com/company/Complete-Tours--1217116,DOUNIA BOUADDI,Chief Operating Officer
Concorde Hotels & Resorts,Türkiye,Aksu - Antalya,07230,https://navigate.itb.com/company/Concorde-Hotels-Resorts--1010047,ISMAIL CICEK,Sales & Marketing Director
Conrad Dubai,United Arab Emirates,Dubai,115143,https://navigate.itb.com/company/Conrad-Dubai--1206776,Mohamed Afifi,Assistant Director of Sales
Constantinou Bros Hotels,Cyprus,Paphos,8101,https://navigate.itb.com/company/Constantinou-Bros-Hotels--1203497,Jannis Ioannou,Manager
Crillon Tours - Bolivien,Bolivia,La Paz,0,https://navigate.itb.com/company/Crillon-Tours---Bolivien--1010695,Sebastian Villena Morgan,Marketing & Product Manager
Cullinan Belek,Türkiye,Antalya,07525,https://navigate.itb.com/company/Cullinan-Belek--1100056,Tarik Egemen,
Cunard Line - eine Marke der Carnival plc,Germany,Hamburg,20457,https://navigate.itb.com/company/Cunard-Line---eine-Marke-der-Carnival-plc--1205565,Rainer Hillers,Key Account Manager
Curious Korea DMC,South Korea,Seoul,03766,https://navigate.itb.com/company/Curious-Korea-DMC--1010886,Flora Lee,Executive Director
Direction Capri,Italy,Salerno,84132,https://navigate.itb.com/company/Direction-Capri--1209806,luca lamberti,ceo
Diriyah,Saudi Arabia,Riyadh,11574,https://navigate.itb.com/company/Diriyah--1207916,Nashwa Aldaghash,Tourism & Engagement Manager
Domes Resorts,Greece,Thessaloniki,555 35,https://navigate.itb.com/company/Domes-Resorts--1207237,Irini Roidou,Sales Executive
Dom Pedro Lisboa,Portugal,Lisboa,1070-110,https://navigate.itb.com/company/Dom-Pedro-Lisboa--1012338,Sónia Matias,
"Dukes The Palm, a Royal Hideaway",United Arab Emirates,Dubai,120015,https://navigate.itb.com/company/Dukes-The-Palm-a-Royal-Hideaway--1012676,Amer Khoury,Director of Sales & Marketing
Eagles Resort,Greece,Ouranoupolis,63075,https://navigate.itb.com/company/Eagles-Resort--1205463,Yannis Avramidis,Director of Sales
Egypt In Style,Egypt,Giza,11241,https://navigate.itb.com/company/Egypt-In-Style--1216292,Mohamed Khalifa,
Elewana Collection,Kenya,Nairobi,00506,https://navigate.itb.com/company/Elewana-Collection--1013774,Nrupali Dave,Marketing Manager
Explora Journeys,Switzerland,Genf,1206,https://navigate.itb.com/company/Explora-Journeys--1014880,Zsanett Kelemen,
Fazlani Natures Nest - The Wellness Retrea,India,Pune,412106,https://navigate.itb.com/company/Fazlani-Natures-Nest---The-Wellness-Retrea--1216133,Krushna Katre,Head Sales and Marketing
Flower Hotel & Spa,Albania,Golem,2504,https://navigate.itb.com/company/Flower-Hotel-Spa--1216423,Mireda Caci,Manager
Fothergill,Zimbabwe,Harare,0000,https://navigate.itb.com/company/Fothergill--1016077,Sarah White,Sales and Marketing
Fuoritinerario - Discover your Italy,Italy,Perugia,06128,https://navigate.itb.com/company/Fuoritinerario---Discover-your-Italy--1016781,Claudio Passarini,Product Manager
GASSAN Diamonds,Netherlands,Amsterdam,1011  LN,https://navigate.itb.com/company/GASSAN-Diamonds--1017021,Diletta De Luca,PR & Travel Trade Manager
GOLDEN SANDS HOTELS MANAGEMENT CO. LLC,United Arab Emirates,DUBAI,00000,https://navigate.itb.com/company/GOLDEN-SANDS-HOTELS-MANAGEMENT-CO--LLC--1216333,MOHAMMAD KHOORI,CLUSTER GENERAL MANAGER
Golden Tour Korea DMC (GTK DMC),South Korea,Seoul,04129,https://navigate.itb.com/company/Golden-Tour-Korea-DMC-GTK-DMC--1017816,Mark Cho,VICE CEO
Gold Limousine,Portugal,Lisboa,2610-295,https://navigate.itb.com/company/Gold-Limousine--1216643,Adelino Inácio,
Greater Miami Convention & Visitors Bureau,United States of America,Miami,FL 33131,https://navigate.itb.com/company/Greater-Miami-Convention-Visitors-Bureau--1215814,Dan Rios,"Director, LGBTQ+ Tourism Marketing"
Great Plains Conservation,Seychelles,Victoria,0,https://navigate.itb.com/company/Great-Plains-Conservation--1018126,Alex Walters,Sales & Marketing Manager
Grumeti Air,Tanzania,Arusha,0,https://navigate.itb.com/company/Grumeti-Air--1206786,Enrico Tognoni,Commercial Director
Grupo Vidanta,Mexico,Nayarit,63735,https://navigate.itb.com/company/Grupo-Vidanta--1215224,Adrian Castillo,Associate Director Strategic Marketing & Partnerships
Heritage Line,Vietnam,Ho Chi Minh City,700000,https://navigate.itb.com/company/Heritage-Line--1190512,Trung Trinh,Marketing Executive
HINOMARU LIMOUSINE CORPORATION,Japan,Bunkyo-ku,112-0004,https://navigate.itb.com/company/HINOMARU-LIMOUSINE-CORPORATION--1019649,Yasuhisa Taneda,Sales
HOMES & VILLAS BY GRECOTEL,Greece,Rethymno Crete,74100,https://navigate.itb.com/company/HOMES-VILLAS-BY-GRECOTEL--1216992,Martha Filenta,
"""Hosh Syyahat"" Economic Society",Turkmenistan,Ashgabat,744000,"https://navigate.itb.com/company/""Hosh-Syyahat""-Economic-Society--1215515",Azhdar Germikov,Tourism Director
Hotel Las Majadas,Chile,Santiago de Chile,6480000,https://navigate.itb.com/company/Hotel-Las-Majadas--1020264,George Horney,Global Business Development
Iceland Hotel Collection By Berjaya,Iceland,Reykjavík,102,https://navigate.itb.com/company/Iceland-Hotel-Collection-By-Berjaya--1020963,Ragnheiður I. Halldórsdóttir,Sales Manager
Il Capri Hotel srl,Italy,Capri,80073,https://navigate.itb.com/company/Il-Capri-Hotel-srl--1212925,Rosa Monsurrò,Front Office Manager
INDIE TRAILS PRIVATE LIMITED,India,Gurgaon,122018,https://navigate.itb.com/company/INDIE-TRAILS-PRIVATE-LIMITED--1209261,Gautam Kaul,
Indo Asia Leisure Services Pvt. Ltd.,India,Gurugram,122003,https://navigate.itb.com/company/Indo-Asia-Leisure-Services-Pvt--Ltd--1021407,Sahil Gupta,Deputy General Manager
Indochina Sails - Halong Lan Ha Bay,Vietnam,Hai Phong City,180000,https://navigate.itb.com/company/Indochina-Sails---Halong-Lan-Ha-Bay--1021412,Thu Trang Nguyen,Director of Sales & Marketing
INFLUENCE SOCIETY,France,LYON,69003,https://navigate.itb.com/company/INFLUENCE-SOCIETY--1021484,Sébastien FELIX,CEO
Ingolstadt Village,Germany,Ingolstadt,85055,https://navigate.itb.com/company/Ingolstadt-Village--1021547,Tino Kranich,
Inova Hospitality Management,Greece,Nea Moudania,63200,https://navigate.itb.com/company/Inova-Hospitality-Management--1000169,Andreas Birner,Managing Director
JoMA Hospitality and Lifestyle Bali,Indonesia,Bali,80361,https://navigate.itb.com/company/JoMA-Hospitality-and-Lifestyle-Bali--1216473,Mariah Sutrisna,Director
Journeys Beyond Africa,Kenya,Kiambu,0,https://navigate.itb.com/company/Journeys-Beyond-Africa--1215156,Jair Falck,Owner
Juulchin World Tours,Mongolia,Ulaanbaatar,17031,https://navigate.itb.com/company/Juulchin-World-Tours--1216603,Narantsetseg Delgersuren,CEO
KaiSol Romance Resort,Egypt,Hurghada,84511,https://navigate.itb.com/company/KaiSol-Romance-Resort--1022976,George Michael,Director of Sales
Kappa Senses Ubud,Indonesia,Gianyar,80571,https://navigate.itb.com/company/Kappa-Senses-Ubud--1023078,Santi Triana,General Manager
Karibu Camps & Lodges,Tanzania,Arusha,174,https://navigate.itb.com/company/Karibu-Camps-Lodges--1023101,Misha Pattni,Marketing Executive
KBA TUR Indonesia,Indonesia,Denpasar,80239,https://navigate.itb.com/company/KBA-TUR-Indonesia--1206198,I Ketut Sujata,Executive Director
Kelana DMC,Indonesia,Denpasar,80224,https://navigate.itb.com/company/Kelana-DMC--1023291,Marc Jacobs,Managing Director
KNOSSIANS,Greece,Kifissia,145 62,https://navigate.itb.com/company/KNOSSIANS--1207346,Natalia Kessissoglou,Director of Sales & Marketing
Koh Jum Beach Villas,Thailand,Nua Klong,81000,https://navigate.itb.com/company/Koh-Jum-Beach-Villas--1216118,Mandy Kalinski,Reservations and Sales Manager
Konkamoya Lodge,Zambia,Itezhi-Tezhi,10101,https://navigate.itb.com/company/Konkamoya-Lodge--1023839,Caterina Ferazzini,General Manager
Latin American Encounter,Bolivia,La Paz,0,https://navigate.itb.com/company/Latin-American-Encounter--1024708,Sebastian Villena Morgan,Marketing & Product Manager
LH TRAVELS,Indonesia,Bali,80237,https://navigate.itb.com/company/LH-TRAVELS--1206197,Nikita KALRA,Director
Lionea do.o.,Croatia,Porec,52440,https://navigate.itb.com/company/Lionea-do-o--1215193,Anja Beck,Manager Global Network & Operations
Lobster Experience GmbH,Germany,Offenbach,63069,https://navigate.itb.com/company/Lobster-Experience-GmbH--1208213,Astrid Oberhummer,CEO & Founder
Lošinj Hotels & Villas,Croatia,Lošinj,51550,https://navigate.itb.com/company/Lošinj-Hotels-Villas--1025545,Lara Soldičić Vodarić,"Head of Sales, Leisure & Corporate"
Lotsane Limpopo Luxury River Lodge,Botswana,Tuli Block,0,https://navigate.itb.com/company/Lotsane-Limpopo-Luxury-River-Lodge--1214816,Petra Moos,
LOTUSZ VOYAGER KFT,Hungary,Budapest,1051,https://navigate.itb.com/company/LOTUSZ-VOYAGER-KFT--1217113,SEDA CETINOGLU,CEO
IOI RESORT CITY PUTRAJAYA & KUALA LUMPUR,Malaysia,Putrajaya,62502,https://navigate.itb.com/company/IOI-RESORT-CITY-PUTRAJAYA-KUALA-LUMPUR--1215772,Tan Gim Aik,
McArthurGlen Designer Outlet Parndorf,Austria,Parndorf,7111,https://navigate.itb.com/company/McArthurGlen-Designer-Outlet-Parndorf--1205191,Sören Aschenbach,Tourism Manager
Miracle Experiences,Tanzania,ARUSHA,0,https://navigate.itb.com/company/Miracle-Experiences--1027611,Béryl Corman,International Marketing Europe
"MONTBLANC HAUS, Montblanc Simplo GmbH",Germany,Hamburg,22525,https://navigate.itb.com/company/MONTBLANC-HAUS-Montblanc-Simplo-GmbH--1214612,Yasmin Turk,Head of MONTBLANC HAUS
Mývatn Nature Baths,Iceland,Myvatn,660,https://navigate.itb.com/company/Mývatn-Nature-Baths--1207326,Gudmundur Thor Birgisson,General Manager
NDIFO SAFARI LIMITED,Tanzania,ARUSHA,12264,https://navigate.itb.com/company/NDIFO-SAFARI-LIMITED--1206821,STEVEN NGOWI,DIRECTOR
Nova Hotels Ltd,Tanzania,Zanzibar,P. O.Box 1361,https://navigate.itb.com/company/Nova-Hotels-Ltd--1029436,Sujit Shah,Sales & Marketing
NUMO Hotels & Resorts,Greece,Athens,10561,https://navigate.itb.com/company/NUMO-Hotels-Resorts--1029545,George Georgakopoulos,Sales Manager
Oceania Cruises,United Kingdom,Southampton,SO15 2JU,https://navigate.itb.com/company/Oceania-Cruises--1029730,Danielle S Stradling,Dir Int'l Marketing
Opera Laboratori Fiorentini spa,Italy,Florence,50123,https://navigate.itb.com/company/Opera-Laboratori-Fiorentini-spa--1214602,Francesca Fracci,Event manager
Palazzo Versace Dubai,United Arab Emirates,Dubai,128431,https://navigate.itb.com/company/Palazzo-Versace-Dubai--1030598,MOHAMED TAHER SHOUKRI,Director of Sales & Events
Palm Royale Resort Soma Bay,Egypt,Hurghada,11231,https://navigate.itb.com/company/Palm-Royale-Resort-Soma-Bay--1030626,Mariam Mourad,Director of Marketing & E-Commerce
"Palms, Zanzibar",Tanzania,Zanzibar,0000,https://navigate.itb.com/company/Palms-Zanzibar--1206065,Sujit Shah,Sales & Marketing
Pelican Halong - Cat Ba Cruise Joint Stock Company,Vietnam,Hai Phong City,18000,https://navigate.itb.com/company/Pelican-Halong---Cat-Ba-Cruise-Joint-Stock-Company--1031042,Phuong Nguyen Thi Ha,Director of Sales
PERU A TRAVEL (PAT),Peru,Lima,15038,https://navigate.itb.com/company/PERU-A-TRAVEL-PAT--1216706,Rosario Torrejon,Commercial Manager
Pramana Experience,Indonesia,Gianyar,80571,https://navigate.itb.com/company/Pramana-Experience--1031927,Ni Luh Idayanti,Director Of Sales
RAFAELO RESORT,Albania,LEZHE,1001,https://navigate.itb.com/company/RAFAELO-RESORT--1215915,BRIKELA BEJKO,ADMINISTRATOR
Regent Seven Seas Cruises,United Kingdom,Southampton,SO15 2JU,https://navigate.itb.com/company/Regent-Seven-Seas-Cruises--1033906,Samantha Deadman,"Senior Marketing Manager, Trade, Events & Loyalty"
Regnum Hotels,Türkiye,Antalya,07500,https://navigate.itb.com/company/Regnum-Hotels--1208760,Çiğdem Kutlu,Marketing Specialist
Rhulani Safari Lodge,South Africa,North West Province,0,https://navigate.itb.com/company/Rhulani-Safari-Lodge--1215082,Marisa Silva,Owner
Rocket Uzbekistan,Uzbekistan,Tashkent/Samarkand,100084,https://navigate.itb.com/company/Rocket-Uzbekistan--1207391,Negina Mukhtarova,executive chairman
Rovos Rail Tours (Pty) Ltd.,South Africa,Capital Park / Pretoria,0084,https://navigate.itb.com/company/Rovos-Rail-Tours-Pty-Ltd--1035060,Heike Gerntholtz,Marketing
Rwanda Development Board,Rwanda,Kigali City,6239,https://navigate.itb.com/company/Rwanda-Development-Board--1035260,Nadine Mukunde,Strategic Market Specialist
Sanctuary Retreats,United Kingdom,Cheltenham,GL50 3LG,https://navigate.itb.com/company/Sanctuary-Retreats--1180778,Carolin McLeod,Sales Manager Germany
Sani/Ikos Group Germany Gmbh,Germany,München,80636,https://navigate.itb.com/company/Sani/Ikos-Group-Germany-Gmbh--1216695,Tobias Pflantz,Acting Regional Director Sales & Marketing
Sardinia Guided Tours,Italy,Olmedo,07040,https://navigate.itb.com/company/Sardinia-Guided-Tours--1035844,DAVIDE FANCELLU,TITOLARE
Satellite-ES Ltd.,Bulgaria,Plovdiv,4000,https://navigate.itb.com/company/Satellite-ES-Ltd--1216542,Daniela Gozmanova,CEO
Savoy Signature Hotels,Portugal,Funchal,9004-542,https://navigate.itb.com/company/Savoy-Signature-Hotels--1035980,Graça Guimarães,
Scenic Cruises International GmbH,Germany,Lörrach,79539,https://navigate.itb.com/company/Scenic-Cruises-International-GmbH--1036049,Achim Weber,"Head of Sales DACH, Middle East, Africa"
Sea You Aboard - Sergio Imperatore,Italy,Pompei,80045,https://navigate.itb.com/company/Sea-You-Aboard---Sergio-Imperatore--1217044,Sergio Imperatore,CEO
Serry Beach Resort,Egypt,Hurghada,84511,https://navigate.itb.com/company/Serry-Beach-Resort--1217161,Haitham Hamdy,Director of Sales & Marketing
Shurooq,United Arab Emirates,Sharjah,P.O. Box 867,https://navigate.itb.com/company/Shurooq--1037072,Heba Saleh Elgergawi,"Executive, Marketing"
Sicilvision Srl,Italy,Palermo,90143,https://navigate.itb.com/company/Sicilvision-Srl--1037132,Francesco Miranda,CEO
Siviti Timbavati Plains (Pty) Ltd.,South Africa,Cape Town,8001,https://navigate.itb.com/company/Siviti-Timbavati-Plains-Pty-Ltd--1206177,Heike Gernholtz,Marketing
Sjourney - The First Luxury Train in Vietnam,Vietnam,Hanoi,10000,https://navigate.itb.com/company/Sjourney---The-First-Luxury-Train-in-Vietnam--1207020,Thang Phan,General  Manager
Sky Lagoon Iceland,Iceland,Reykjavik,200,https://navigate.itb.com/company/Sky-Lagoon-Iceland--1037464,Lára Aradóttir,Senior sales manager
Sofitel Dubai Downtown,United Arab Emirates,Dubai,00000,https://navigate.itb.com/company/Sofitel-Dubai-Downtown--1037809,Andjela Ivanovic,Sales Manager - Leisure
Sofitel Kia Ora Moorea Beach Resort & Hotel Kia Ora Resort & Spa Rangiroa,French Polynesia,Moorea,98728,https://navigate.itb.com/company/Sofitel-Kia-Ora-Moorea-Beach-Resort-Hotel-Kia-Ora-Resort-Spa-Rangiroa--1206764,Erwan LY,Global Sales Representative Europe
Southern Africa 360 Luxury Holidays,South Africa,Cape Town,7495,https://navigate.itb.com/company/Southern-Africa-360-Luxury-Holidays--1207560,Collin Nelson Thaver,MD
Steigenberger Nile Palace Hotel and Convention Center,Egypt,Luxor,85111,https://navigate.itb.com/company/Steigenberger-Nile-Palace-Hotel-and-Convention-Center--1216490,Omar Youssef,Hotel Manager
SUN GATE TOURS / Sun Gate Tour Operador S.A.C.,Peru,Cusco,08004,https://navigate.itb.com/company/SUN-GATE-TOURS-/-Sun-Gate-Tour-Operador-S-A-C--1038962,David Quispe,Commercial Manager
Supreme Hotel,Albania,Kavaje,2504,https://navigate.itb.com/company/Supreme-Hotel--1208648,Jurgen Arapi,Sales Manager
Tahiti Nui Travel,French Polynesia,Papeete,98713,https://navigate.itb.com/company/Tahiti-Nui-Travel--1039384,Camille Moine,Market manager
"Taj Exotica Resort & Spa, The Palm, Dubai",United Arab Emirates,Dubai,566737,https://navigate.itb.com/company/Taj-Exotica-Resort-Spa-The-Palm-Dubai--1216232,Saad Zahid,Director of Sales
Tanganyika Wilderness Camps,Tanzania,Arusha,0000,https://navigate.itb.com/company/Tanganyika-Wilderness-Camps--1039481,Nuria Panizo,Sales Director
Teeling Whiskey Distillery,Ireland,DUBLIN 8,8,https://navigate.itb.com/company/Teeling-Whiskey-Distillery--1039748,Lisa Jameson,General Manager
Tetrapylon Ltd,United Kingdom,London,WC1X 8QT,https://navigate.itb.com/company/Tetrapylon-Ltd--1040017,Andrew Elliott,COO
Therme Laa I Hotel I Silent Spa I Villas,Austria,Laa a.d. Thaya,2136,https://navigate.itb.com/company/Therme-Laa-I-Hotel-I-Silent-Spa-I-Villas--1205469,Gottfried Fragner,Head of Marketing/Sales/MICE/PR
The Royal Concertgebouw Orchestra,Netherlands,Amsterdam,1071 EB,https://navigate.itb.com/company/The-Royal-Concertgebouw-Orchestra--1205266,Laura Beenders,Director of Sales
Head of Sales,South Africa,Hoedspruit,1380,https://navigate.itb.com/company/Head-of-Sales--1207629,JB Burger,Head of Sales
"T-LIFE PARTNERS CO.,LTD.",Japan,TOKYO,112-0002,"https://navigate.itb.com/company/T-LIFE-PARTNERS-CO-,LTD--1215556",Hiroaki KATO,GENERAL MANAGER
TOMONTOUR,Germany,Munich,80451,https://navigate.itb.com/company/TOMONTOUR--1040831,Tom Dedek,Product Manager
Travel World SA,Greece,Rhodes,85100,https://navigate.itb.com/company/Travel-World-SA--1041564,Savvas Kampouris,Managing Director
TRAVEMO CLUB D.O.O.,Croatia,Zagreb,10000,https://navigate.itb.com/company/TRAVEMO-CLUB-D-O-O--1215845,Marijan Mikec,CEO
Uniline Travel Company,Croatia,Pula,52100,https://navigate.itb.com/company/Uniline-Travel-Company--1042397,Vitas Declerck,Senior Sales Executive Europe
VANTARAKIS HOTEL COLLECTION,Greece,GEORGIOUPOLIS,73007,https://navigate.itb.com/company/VANTARAKIS-HOTEL-COLLECTION--1216022,SOTIRIS MANOLITSAS,DIRECTOR OF SALES & CONTRACTS
Ventula Travel DMC,Croatia,Split,21000,https://navigate.itb.com/company/Ventula-Travel-DMC--1216477,Robert Bralić,Owner and Managing Director
Victoria Falls River Lodge,Zimbabwe,Victoria Falls,00000,https://navigate.itb.com/company/Victoria-Falls-River-Lodge--1216714,Jenna Bosch,Sales and Marketing
VIET STAR CRUISE INVESTMENT JOINT STOCK COMPANY,Vietnam,Hai Phong,180000,https://navigate.itb.com/company/VIET-STAR-CRUISE-INVESTMENT-JOINT-STOCK-COMPANY--1216151,Ngoc Thuy Quynh Nguyen,Board Of Director
Vila Bled und Hotel Elegans Brdo,Slovenia,Kranj,4000,https://navigate.itb.com/company/Vila-Bled-und-Hotel-Elegans-Brdo--1215093,Mateja Golja,Sales manager
VLS AGENCY,Italy,Venezia,30175,https://navigate.itb.com/company/VLS-AGENCY--1216179,Manuel Emorano,COO
Wertheim Village,Germany,Wertheim,97877,https://navigate.itb.com/company/Wertheim-Village--1044462,Andreas Läpple,
Westline Tours,Albania,Tirana,1001AL,https://navigate.itb.com/company/Westline-Tours--1216424,Mihal Toda,CEO & Co-owner
WhereNext Travel,Colombia,Armenia,,https://navigate.itb.com/company/WhereNext-Travel--1044555,Angelika Koehler,General Manager
Xclusive Yachts,United Arab Emirates,Dubai,0000,https://navigate.itb.com/company/Xclusive-Yachts--1216233,Alviona Louise Magaris,Group Head of Marketing
Zawadi Hotel,Tanzania,Zanzibar,0000,https://navigate.itb.com/company/Zawadi-Hotel--1205647,Sujit Shah,Sales & Marketing
